Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0482320,2020-04-23,2020-04-23,,"Mohanlal","Dasharatham","May 21, 1960"
2,nm0007123,2020-04-23,2020-04-23,,"Mammootty","Oru Vadakkan Veeragatha","September 7, 1951"
3,nm1335387,2020-04-23,2020-04-23,,"Prithviraj Sukumaran","Ennu Ninte Moideen","October 16, 1982"
4,nm4921260,2020-04-23,2020-04-23,,"Dulquer Salmaan","Charlie","July 28, 1986"
5,nm0226770,2020-04-23,2020-04-23,,"Dileep","Sound Thoma","October 27, 1968"
6,nm4028885,2020-04-23,2020-04-23,,"Nivin Pauly","Premam","October 11, 1984"
7,nm1335704,2020-04-23,2020-04-23,,"Fahadh Faasil","Pushpa: The Rise - Part 1","August 8, 1982"
8,nm0090283,2020-04-23,2020-04-23,,"Kunchacko Boban","Anjaam Pathiraa","November 2, 1976"
9,nm1334389,2020-04-23,2020-04-23,,"Jayasurya","Su Su Sudhi Vathmeekam","August 31, 1978"
10,nm0419688,2020-04-23,2020-04-23,,"Jayaram","Thuppakki","December 10, 1964"
