Title,cast1,cast2,cast3,cast4,poster,URL,Year,Genres,Directors
Thoovanathumbikal,Mohanlal,Sumalatha,Parvathi, Ashokan,"https://m.media-amazon.com/images/M/MV5BNjUyZGYwNGItYTVjYy00ZTgyLTkzMzItMmNmNWNhYWI4OTk1XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0249188/,1987,"Drama, Romance",P. Padmarajan
Namukku Parkkan Munthiri Thoppukal,Mohanlal,Shari,Thilakan, Vineeth,"https://m.media-amazon.com/images/M/MV5BY2M0ZTk3ZTEtOTlkZi00NWU2LTkzM2QtNjBlMzgzZDU4MDJlXkEyXkFqcGdeQXVyNTI0NzYwMTI@._V1_UY209_CR6,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0249047/,1986,Romance,P. Padmarajan
Lekhayude Maranam: Oru Flashback,Nalini,Bharat Gopy,Shubha, John Varghese,"https://m.media-amazon.com/images/M/MV5BNTgyMzIxZjEtMGM2My00NzhlLTk3YzQtOTE1NDA3NGFiNTM2XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR27,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0214875/,1983,Drama,K.G. George
Moonnam Pakkam,Jagathi N.K. Achari,Ajayan Adoor,Ajayan, Ashokan,"https://m.media-amazon.com/images/M/MV5BYzMyNzYxYzQtMzJiYS00OTY1LTk3YzUtNmYxYTU2MjZlZmY4XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0249027/,1988,Drama,P. Padmarajan
Yavanika,Bharat Gopy,Nedumudi Venu,Mammootty, Venu Nagavalli,"https://m.media-amazon.com/images/M/MV5BM2Y2YWI4NjEtN2E5MS00OTUwLWE3MWYtZGVmY2ZlOGZkNTcyXkEyXkFqcGdeQXVyNTI0NzU5ODc@._V1_UY209_CR12,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0215376/,1982,"Drama, Mystery",K.G. George
Chithram,Mohanlal,Nedumudi Venu,Renjini, Poornam Vishwanathan,"https://m.media-amazon.com/images/M/MV5BNGE3OGUxMTctMDdhOC00OTFjLWIxYjQtNTJjYjNhMmM4ZTEyXkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_UY209_CR3,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0214585/,1988,"Comedy, Drama, Musical",Priyadarshan
Kireedam,Mohanlal,Thilakan,Kaviyoor Ponnamma, Parvathi,"https://m.media-amazon.com/images/M/MV5BY2U2YmVjMmUtZjFhNS00YTBhLWFmOGYtYWRiYjBmZDkwMTU1XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0237376/,1989,"Action, Drama",Sibi Malayil
Innale,Shobana,Jayaram,Srividya, Suresh Gopi,"https://m.media-amazon.com/images/M/MV5BNDMxZjZiNTItMTg3Yy00NzIzLTgyZDgtNDhjZjVkNzc5YTkxXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_UY209_CR7,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0248909/,1989,"Drama, Romance",P. Padmarajan
Nadodikkattu,Mohanlal,Sreenivasan,Shobana, Thilakan,"https://m.media-amazon.com/images/M/MV5BN2IyYTExNmYtMjRhNC00MWFjLTllZDAtODRlZjA0MTgyZDc0XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_UY209_CR9,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0282778/,1987,Comedy,Sathyan Anthikad
Ponmuttayidunna Tharavu,Sreenivasan,Jayaram,Urvashi, Innocent Vareed Thekkethala,"https://m.media-amazon.com/images/M/MV5BZDk3N2E2ZTQtYjgwZC00ODc4LTgwYTItNTlkZWFmNDA3M2Y4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR1,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0352732/,1988,"Comedy, Drama",Sathyan Anthikad
Utharam,Mammootty,Sukumaran,Parvathi, Suparna Anand,"https://m.media-amazon.com/images/M/MV5BNzFiNzcxMGQtYjM5ZC00ZTdlLTg1ODctYzk4OGQzMDY0MDU4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR33,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0253873/,1989,"Drama, Mystery, Thriller",V.K. Pavithran
Ente Mamattikkuttiyammakku,Bharat Gopy,Mohanlal,Shalini, Sangeeta Naik,"https://m.media-amazon.com/images/M/MV5BODAxN2NkMDAtZGFhZC00OGQwLThjMjgtZTA5MjE5MTUzYjBiXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_UY209_CR13,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0214909/,1983,Drama,Fazil
Oru Vadakkan Veeragatha,Mammootty,Madhavi,Devan, Suresh Gopi,"https://m.media-amazon.com/images/M/MV5BODNjOGNjZGMtYzUwYS00NTM1LTk1MTEtZjlhOTY2MTBhNDkxXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR1,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0230597/,1989,"Drama, History",T. Hariharan
Dasharatham,Mohanlal,Rekha,Murali, Karamana Janardanan Nair,"https://m.media-amazon.com/images/M/MV5BMmVlOWRmZWItYWUyNC00MTExLWE4M2YtMWY4YzNmYzQxMWY2XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0237138/,1989,"Comedy, Drama",Sibi Malayil
Vadakkunokkiyantram,Sreenivasan,Parvathi,Innocent Vareed Thekkethala, K.P.A.C. Lalitha,"https://m.media-amazon.com/images/M/MV5BYmY4NzQ4MTktYTA5NS00ZjBkLTgxZjktZmFmZmJmZDM1ZTNkXkEyXkFqcGdeQXVyMzQ5Njc3NzU@._V1_UY209_CR5,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0354148/,1989,"Comedy, Drama",Sreenivasan
Oru CBI Diary Kurippu,Mammootty,Suresh Gopi,Jagathy Sreekumar, Janardanan,"https://m.media-amazon.com/images/M/MV5BOTM0ZjcyMWUtNmVjZi00ZDI5LTgxNDItY2UxNjAwYzAyMmI0XkEyXkFqcGdeQXVyMTIxMTUwNTA1._V1_UY209_CR0,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0271694/,1988,"Mystery, Thriller",K. Madhu
Thaniyavartanam,Mammootty,Thilakan,Mukesh, Kaviyoor Ponnamma,"https://m.media-amazon.com/images/M/MV5BMjBiZjI1ZTItZWI5MS00ZTA5LWFhOTEtYzUxOTYwNTc1ZjI4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR1,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0237820/,1987,Drama,Sibi Malayil
Panchavadi Palam,Bharat Gopy,Nedumudi Venu,Srividya, Alummoodan,"https://m.media-amazon.com/images/M/MV5BMTNjNWU5ZTAtMDUzMC00MTVmLWJhYmMtZWQ4Yzk1ZTdlM2RiXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR6,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0215029/,1984,Comedy,K.G. George
Yaathra,Shobana,Mammootty,Adoor Bhasi, Thilakan,"https://m.media-amazon.com/images/M/MV5BMzU3YTFlY2QtMDIxZC00M2UyLWFlZjQtZDJiNjQ3ZTU3MmY1XkEyXkFqcGdeQXVyNTI0NzYwMzE@._V1_UY209_CR9,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0235891/,1985,"Drama, Romance",Balu Mahendra
Aalkkoottathil Thaniye,Mohanlal,Mammootty,Seema, Balan K. Nair,"https://m.media-amazon.com/images/M/MV5BOTk3OGIxYzctNjAzZi00Y2RiLTkyYTQtMzlkZTJkMGZhMmY2XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_UY209_CR10,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0268882/,1984,"Drama, Romance",I.V. Sasi
