Title,URL,imdb_id,Directors,overview,Poster_url,cast_1,cast_2,cast_3,cast_4,cast_5,cast_6,cast_7,cast_8,,,
Thoovanathumbikal,https://www.imdb.com/title/tt0249188/,tt0249188,P. Padmarajan,"Jayakrishnan falls in love with two girls, Radha and Clara, and fights his confusion about whom he should marry and spend his life with.",https://m.media-amazon.com/images/M/MV5BNjUyZGYwNGItYTVjYy00ZTgyLTkzMzItMmNmNWNhYWI4OTk1XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,Mohanlal,Sumalatha,Parvathi,Ashokan,,,,,,,
Thaniyavartanam,https://www.imdb.com/title/tt0237820/,tt0237820,Sibi Malayil,"A school teacher living in a village belongs to a family with a history of lunatic males, and soon he falls prey despite being normal due to society misinterpreting his actions.",https://m.media-amazon.com/images/M/MV5BMjBiZjI1ZTItZWI5MS00ZTA5LWFhOTEtYzUxOTYwNTc1ZjI4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Mohanlal,Shari,Thilakan,Vineeth,,,,,,,
Innale,https://www.imdb.com/title/tt0248909/,tt0248909,P. Padmarajan,After a serious accident a girl who was hospitalized forgets her past. She stops worrying about her past when she fall in love with a man and finds herself secure with him. But the reality ...                See full summaryÃ‚Â Ã‚Â»,https://m.media-amazon.com/images/M/MV5BNDMxZjZiNTItMTg3Yy00NzIzLTgyZDgtNDhjZjVkNzc5YTkxXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg,Mohanlal,Thilakan,Kaviyoor,Ponnamma,Parvathi,,,,,,
Yavanika,https://www.imdb.com/title/tt0215376/,tt0215376,K.G. George,"An infamous tabla player of a touring drama group goes missing. Later on, Sub-inspector Jacob Eeraly investigates the case.",https://m.media-amazon.com/images/M/MV5BM2Y2YWI4NjEtN2E5MS00OTUwLWE3MWYtZGVmY2ZlOGZkNTcyXkEyXkFqcGdeQXVyNTI0NzU5ODc@._V1_.jpg,Shobana,Jayaram,Srividya,Suresh,Gopi,,,,,,
Moonnam Pakkam,https://www.imdb.com/title/tt0249027/,tt0249027,P. Padmarajan,An old man spends his life in solitude awaiting his grandson to come for vacation after 6 years. He thought he was the most happiest man in the world until he found out that fate has something unpredictable for him.,https://m.media-amazon.com/images/M/MV5BYzMyNzYxYzQtMzJiYS00OTY1LTk3YzUtNmYxYTU2MjZlZmY4XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg,Sreenivasan,Jayaram,Urvashi,Innocent,Vareed,Thekkethala,,,,,
Oru Vadakkan Veeragatha,https://www.imdb.com/title/tt0230597/,tt0230597,T. Hariharan,The film offers an alternative version of the fight between two legendary Chekavars from Chanthu's perspective.,https://m.media-amazon.com/images/M/MV5BODNjOGNjZGMtYzUwYS00NTM1LTk1MTEtZjlhOTY2MTBhNDkxXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg,Bharat,Gopy,Mohanlal,Shalini,Sangeeta,Naik,,,,,
Namukku Parkkan Munthiri Thoppukal,https://www.imdb.com/title/tt0249047/,tt0249047,P. Padmarajan,A man falls in love with his new neighbor but then finds that her family life is difficult.,https://m.media-amazon.com/images/M/MV5BY2M0ZTk3ZTEtOTlkZi00NWU2LTkzM2QtNjBlMzgzZDU4MDJlXkEyXkFqcGdeQXVyNTI0NzYwMTI@._V1_.jpg,Mammootty,Madhavi,Devan,Suresh,Gopi,,,,,,
Aalkkoottathil Thaniye,https://www.imdb.com/title/tt0268882/,tt0268882,I.V. Sasi,The impending death of an ailing schoolteacher forces a set of uncomfortable reunions between mourners.,https://m.media-amazon.com/images/M/MV5BOTk3OGIxYzctNjAzZi00Y2RiLTkyYTQtMzlkZTJkMGZhMmY2XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_.jpg,Mammootty,Thilakan,Mukesh,Kaviyoor,Ponnamma,,,,,,
Dasharatham,https://www.imdb.com/title/tt0237138/,tt0237138,Sibi Malayil,"Rajeev, an orphan eccentric millionaire, has his own strange taste towards everything. With less knowledge about family relationships, he struggles hard to achieve his aim to become a father without marrying.",https://m.media-amazon.com/images/M/MV5BMmVlOWRmZWItYWUyNC00MTExLWE4M2YtMWY4YzNmYzQxMWY2XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,Bharat,Gopy,Nedumudi,Venu,Srividya,Alummoodan,,,,,
Panchavadi Palam,https://www.imdb.com/title/tt0215029/,tt0215029,K.G. George,"A henpecked politician wants his name attached to a new bridge, even if that means destroying another, perfectly serviceable bridge.",https://m.media-amazon.com/images/M/MV5BMTNjNWU5ZTAtMDUzMC00MTVmLWJhYmMtZWQ4Yzk1ZTdlM2RiXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Shobana,Mohanlal,Suresh,Gopi,Vinaya,Prasad,,,,,
Yaathra,https://www.imdb.com/title/tt0235891/,tt0235891,Balu Mahendra,"Unnikrishnan (Mammootty), an ex-convict, tells his tragic love story to his fellow passengers in a school bus. An orphan and a forest officer by profession, he falls in love with a local ...                See full summaryÃ‚Â Ã‚Â»",https://m.media-amazon.com/images/M/MV5BMzU3YTFlY2QtMDIxZC00M2UyLWFlZjQtZDJiNjQ3ZTU3MmY1XkEyXkFqcGdeQXVyNTI0NzYwMzE@._V1_.jpg,Sreenivasan,Jayaram,Thilakan,Maathu,,,,,,,
Lekhayude Maranam: Oru Flashback,https://www.imdb.com/title/tt0214875/,tt0214875,K.G. George,The movie narrates the story of a poor Malayalee family reaches Madras to try luck for their daughter Shantamma in the film industry.,https://m.media-amazon.com/images/M/MV5BNTgyMzIxZjEtMGM2My00NzhlLTk3YzQtOTE1NDA3NGFiNTM2XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Nalini,Bharat,Gopy,Shubha,John,Varghese,,,,,
Chithram,https://www.imdb.com/title/tt0214585/,tt0214585,Priyadarshan,A woman hires a stranger to pose as her husband because she doesn't want her ailing father to know that her fiance broke their engagement.,https://m.media-amazon.com/images/M/MV5BNGE3OGUxMTctMDdhOC00OTFjLWIxYjQtNTJjYjNhMmM4ZTEyXkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_.jpg,Mohanlal,Nedumudi,Venu,Renjini,Poornam,Vishwanathan,,,,,
Kireedam,https://www.imdb.com/title/tt0237376/,tt0237376,Sibi Malayil,The life of a young man turns upside down when he intervenes in a dispute in order to rescue his father (a cop) from a ruthless local outlaw.,https://m.media-amazon.com/images/M/MV5BY2U2YmVjMmUtZjFhNS00YTBhLWFmOGYtYWRiYjBmZDkwMTU1XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,Mohanlal,Thilakan,Kaviyoor,Ponnamma,Parvathi,,,,,,
Nadodikkattu,https://www.imdb.com/title/tt0282778/,tt0282778,Sathyan Anthikad,"After losing their jobs in Kerala, Dasan and Vijayan decide to migrate to the Middle East. But they end up in Tamil Nadu where they are mistaken as two CID officers by a group of smugglers.",https://m.media-amazon.com/images/M/MV5BN2IyYTExNmYtMjRhNC00MWFjLTllZDAtODRlZjA0MTgyZDc0XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_.jpg,Mohanlal,Sreenivasan,Shobana,Thilakan,,,,,,,
Ponmuttayidunna Tharavu,https://www.imdb.com/title/tt0352732/,tt0352732,Sathyan Anthikad,"Bhaskaran, a goldsmith is madly in love with Snehalatha, the daughter of astrologer, Panicker. When Bhaskaran asks for Snehalatha's hand in marriage, to his shock, she denies their love affair.",https://m.media-amazon.com/images/M/MV5BZDk3N2E2ZTQtYjgwZC00ODc4LTgwYTItNTlkZWFmNDA3M2Y4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Sreenivasan,Jayaram,Urvashi,Innocent,Vareed,Thekkethala,,,,,
Utharam,https://www.imdb.com/title/tt0253873/,tt0253873,V.K. Pavithran,"One fine morning, not any different from every other day, a promising poet shoots herself. Leaving no trace of motive, her husband's best friend and journalist, Balu embarks on a journey to find the truth.",https://m.media-amazon.com/images/M/MV5BNzFiNzcxMGQtYjM5ZC00ZTdlLTg1ODctYzk4OGQzMDY0MDU4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Mammootty,Sukumaran,Parvathi,Suparna,Anand,,,,,,
Ente Mamattikkuttiyammakku,https://www.imdb.com/title/tt0214909/,tt0214909,Fazil,A couple who lost their daughter in an accident decides to adopt a girl from the local orphanage. But problems arise when the child's real mother seeks to find her.,https://m.media-amazon.com/images/M/MV5BODAxN2NkMDAtZGFhZC00OGQwLThjMjgtZTA5MjE5MTUzYjBiXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg,Bharat,Gopy,Mohanlal,Shalini,Sangeeta,Naik,,,,,
Vadakkunokkiyantram,https://www.imdb.com/title/tt0354148/,tt0354148,Sreenivasan,"A man with a serious case of inferiority complex is married to a beautiful girl. Soon, his love and care turns into suspicion.",https://m.media-amazon.com/images/M/MV5BYmY4NzQ4MTktYTA5NS00ZjBkLTgxZjktZmFmZmJmZDM1ZTNkXkEyXkFqcGdeQXVyMzQ5Njc3NzU@._V1_.jpg,Sreenivasan,Parvathi,Innocent,Vareed,Thekkethala,K.P.A.C.,Lalitha,,,,
Oru CBI Diary Kurippu,https://www.imdb.com/title/tt0271694/,tt0271694,K. Madhu,"Prabhakara Varma is called upon to investigate the death of Omana, the daughter-in-law of a local businessman. It looks like a suicide but, Varma is sure that is not so.",https://m.media-amazon.com/images/M/MV5BOTM0ZjcyMWUtNmVjZi00ZDI5LTgxNDItY2UxNjAwYzAyMmI0XkEyXkFqcGdeQXVyMTIxMTUwNTA1._V1_.jpg,Mammootty,Suresh,Gopi,Jagathy,Sreekumar,Janardanan,,,,,
Manichitrathazhu,https://www.imdb.com/title/tt0214915/,tt0214915,Fazil,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.",https://m.media-amazon.com/images/M/MV5BZjQxMmE4NDMtZGVkYi00YmQyLThiNTMtOTVmNDEyZWQ2MzUwXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Shobana,Mohanlal,Suresh,Gopi,Vinaya,Prasad,,,,,
Sandesham,https://www.imdb.com/title/tt0353975/,tt0353975,Sathyan Anthikad,"A satire on contemporary Kerala politics where brothers turn local leaders of rival parties, leading to distress for their aged and once-proud parents.",https://m.media-amazon.com/images/M/MV5BYmQ2YTFlMjktMGJhMC00ZmQ0LWJkNTQtMzlkODQ0NWUwZGViXkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_.jpg,Sreenivasan,Jayaram,Thilakan,Maathu,,,,,,,
Vidheyan,https://www.imdb.com/title/tt0108490/,tt0108490,Adoor Gopalakrishnan,Thommy is a loyal servant of Bhaskar Patel. But Patel is a ruthless tyrant. Thommy struggles between his moral sense and his professional sense. He is finally redeemed without compromising his duty as Patel's servant.,https://m.media-amazon.com/images/M/MV5BYTk1YWI2NjUtNGZkMy00NWFkLWJhNWYtNWRkMzE0OGY0OGY0XkEyXkFqcGdeQXVyMTUwMDMwMTUw._V1_.jpg,Mammootty,M.R.,Gopakumar,Tanvi,Azmi,Sabitha,Anand,,,,
Kaliyattam,https://www.imdb.com/title/tt0199669/,tt0199669,Jayaraj,"An adaptation of ""Othello"" set in the south Indian state of Kerala.",https://m.media-amazon.com/images/M/MV5BYjFlMWM4MjgtYzZhYS00YzY2LWFhYTEtNzFkMTg2ZWE1ZWUxXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg,Suresh,Gopi,Lal,Manju,Warrier,Biju,Menon,,,,
Iyer the Great,https://www.imdb.com/title/tt0271572/,tt0271572,Bhadran,"Vaikundam Soorya Narayana Iyer (Mammootty), a normal business executive leads a normal family life along with his wife and his mother. One day, upon climbing a tall tree in order to capture...                See full summaryÃ‚Â Ã‚Â»",https://m.media-amazon.com/images/M/MV5BNjllYWI0MTctYTI3Ny00ZTllLWJmMjctNzIwNmMzYzYwZmZmXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,Mammootty,Geetha,Devan,Ratheesh,,,,,,,
Mookkillarajyathu,https://www.imdb.com/title/tt0353753/,tt0353753,"Ashokan, Thaha",Four Mental patients escape from a mental hospital and go on an adventure.,https://m.media-amazon.com/images/M/MV5BZWEwNmNlODItY2QxZS00NWRiLTg0Y2YtM2MyNjhkMjQwNTczXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Mukesh,Thilakan,Jagathy,Sreekumar,Siddique,,,,,,
Veendum Chila Veettukaryangal,https://www.imdb.com/title/tt0255675/,tt0255675,Sathyan Anthikad,"Conflicts between a father and son, when the unemployed son brings his love to the family without the consent of the parents.",https://m.media-amazon.com/images/M/MV5BMDA2ZDFkOTgtZDhkNC00YTc1LWI5MzAtMDkzZTRlOGQ3Yzk1XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg,Jayaram,Thilakan,Samyuktha,Varma,K.P.A.C.,Lalitha,,,,,
Chinthavishtayaya Shyamala,https://www.imdb.com/title/tt0377643/,tt0377643,Sreenivasan,"Story of a wife who has to deal with her lazy, immature and irresponsible husband.",https://m.media-amazon.com/images/M/MV5BNjcyNTBhYzItZWFkMS00MGFkLWJmNzgtYTU4NWVkNjVmOWY1XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Sreenivasan,Sangeetha,Thilakan,Innocent,Vareed,Thekkethala,,,,,
Pavithram,https://www.imdb.com/title/tt0292176/,tt0292176,T.K. Rajeev Kumar,"A young man's relationship with his career, fiancee and brother is brought under stress by the birth of an unexpected sister.",https://m.media-amazon.com/images/M/MV5BNDliZjI5YWEtNWI0Yy00ZjlmLTkyY2EtMWU1NWJjYTc0NzA1XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg,Mohanlal,Shobana,Vinduja,Menon,K.P.A.C.,Lalitha,,,,,
Mannar Mathai Speaking,https://www.imdb.com/title/tt0355743/,tt0355743,"Siddique, Mani C. Kappan, Lal",The hilarious trio from 'Ramji Rao Speaking' faces fresh trouble when the heroine of their drama group quits.,https://m.media-amazon.com/images/M/MV5BYzI4ZmQ1OWUtZGM4ZC00MzQzLWFjMjMtZmU3ODk0OWY2Yjg2XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Mukesh,Saikumar,Innocent,Vareed,Thekkethala,Vani,Viswanath,,,,
Commissioner,https://www.imdb.com/title/tt0299693/,tt0299693,Shaji Kailas,"Bharathchandran, a police commissioner committed to his duty, exposes the criminal links of a Delhi-based business tycoon, who has criminal activities running in the country with the help of certain politicians and police officers.",https://m.media-amazon.com/images/M/MV5BZDU2ZThlYTUtZGVkYi00YThhLTgxZDAtMTNmZTk2ZjllNzQ5XkEyXkFqcGdeQXVyNDE2MDU0MDA@._V1_.jpg,Suresh,Gopi,Shobana,Ratheesh,Vijayaraghavan,,,,,,
The Truth,https://www.imdb.com/title/tt0190842/,tt0190842,Shaji Kailas,"Bharat, an IRS officer, heads a team to investigate the assassinated of a chief minister. With the help of IPS Meena Nambiar, he uncovers the shocking truth and exposes the mastermind.",https://m.media-amazon.com/images/M/MV5BYWRjZTI3ZjYtNzBiMC00ODA0LWFjMGItNjUyYzUyYWY5MzcyXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Aliyar,Augustine,Azeez,Bobby,,,,,,,
Minnaram,https://www.imdb.com/title/tt0255378/,tt0255378,Priyadarshan,"Bobby leads a carefree life until his former lover arrives at his place with a baby girl claiming she is his daughter. However, Bobby must find the truth behind her claims.",https://m.media-amazon.com/images/M/MV5BZjZhODM0M2QtNmE0OC00MzkyLTk1MjYtYTYwMThmMmI5NmM2XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_.jpg,Mohanlal,Shobana,Thilakan,Lalu,Alex,,,,,,
Dhruvam,https://www.imdb.com/title/tt0271459/,tt0271459,Joshiy,"Narasimha Mannadiar is a village lord famous for his thirst for justice and fearlessness. Hyder Marakkar, a notorious criminal awaiting capital punishment has means to prevent it. Mannadiar must battle to ensure that justice is prevailed.",https://m.media-amazon.com/images/M/MV5BMTQyNjU4ZDAtYzY0Yi00MzJmLWFmZWItMzFiNmZjN2Q3YmYyXkEyXkFqcGdeQXVyMTUxNjA5ODIw._V1_.jpg,Mammootty,Jayaram,Suresh,Gopi,Vikram,,,,,,
Aaram Thamburan,https://www.imdb.com/title/tt0355169/,tt0355169,Shaji Kailas,"Jagannathan, a mafia don in Bombay moves to Kanimangalam village. He wins the love of the locals, but finds trouble with a feudal lord, Appan Thamburan, after he decided to resume a traditional festival banned by Appan.",https://m.media-amazon.com/images/M/MV5BNTgxZTEzZTktODZjOC00YmQwLTlkZmQtYTZkMzAzM2IxMmE5XkEyXkFqcGdeQXVyNTI0NzU5ODc@._V1_.jpg,Mohanlal,Manju,Warrier,Narendra,Prasad,Saikumar,,,,,
Spadikam,https://www.imdb.com/title/tt0292246/,tt0292246,Bhadran,A small-town criminal constantly clashes with his strict school headmaster father at the expense of their family lives.,https://m.media-amazon.com/images/M/MV5BN2I5NzUzYjQtZDRkNC00Yzc4LTk3ODItY2UzYWQwOWNiYjhhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Mohanlal,Thilakan,Urvashi,Sphadikam,George,,,,,,
Mathilukal,https://www.imdb.com/title/tt0097851/,tt0097851,Adoor Gopalakrishnan,"Its a story of Basheer, an author who experiences his prison life. In it he finds friendship, loneliness, fear and finally love, but that remains questionable.",https://m.media-amazon.com/images/M/MV5BZDcxZjdmMmEtMjI3Ni00OTEzLWJhYmQtMmU2YzM5NTc1N2JiXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg,Mammootty,Thilakan,Karamana,Janardanan,Nair,Murali,,,,,
Yoddha,https://www.imdb.com/title/tt0290937/,tt0290937,Sangeeth Sivan,"Fate brings a young man from rural Kerala to be the protector of a young Lama in Nepal, who is being chased by a dangerous cult.",https://m.media-amazon.com/images/M/MV5BMzdiMWQ5YTgtZWM1NS00OWRmLWI3NmQtNjBkMmFhZTY3NTNlXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg,Mohanlal,Siddharth,Lama,Madhoo,Jagathy,Sreekumar,,,,,
Amaram,https://www.imdb.com/title/tt0155487/,tt0155487,Bharathan,An uneducated fisherman wants his daughter to be educated and become a doctor but his dreams get shattered when she falls in love with her childhood friend.,https://m.media-amazon.com/images/M/MV5BN2NiZmIwMjEtMDZiNi00ODBhLTlhYzMtMjk1ZWI4ZDQyZWRmXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Mammootty,Maathu,Chitra,Murali,,,,,,,
Punjabi House,https://www.imdb.com/title/tt0274012/,tt0274012,"Meccartin, Raffi",A debt-ridden man tries to commit suicide by drowning in the sea but he is rescued by two fishermen and ultimately he ends up working for a Punjabi household.,https://m.media-amazon.com/images/M/MV5BMDNlODgxOTItNzE1MS00Mzk4LThjYTUtMzQ4MWY0N2NmZmEyXkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_.jpg,Dileep,Mohini,Lal,Cochin,Hanifa,,,,,,
Vatsalyam,https://www.imdb.com/title/tt0271857/,tt0271857,Cochin Hanifa,"Raghavan, a farmer, devotes his life to ensure that his brother Vijayakumaran gets educated. But with time and under the influence of his rich wife, Vijayakumaran ends up destroying all relationships.",https://m.media-amazon.com/images/M/MV5BMTk5ODk0ZDMtMDQwZS00OGE2LTk3ZjktZTc0YTY1OTgzMzY4XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,Mammootty,Geetha,Siddique,Kaviyoor,Ponnamma,,,,,,
Kaalapani,https://www.imdb.com/title/tt0255289/,tt0255289,Priyadarshan,"Govardhan, a doctor by profession, is wrongly accused of bombing a train and is jailed by the British in Cellular Jail, also known as Kala Pani, in the Andaman and Nicobar Islands. He witnesses the sufferings of hundreds of Indian prisoners there.",https://m.media-amazon.com/images/M/MV5BZWVjY2M4M2EtYzc4YS00YWM5LThjZTQtNzczNDE5ZDY2OGQwXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg,Mohanlal,Amrish,Puri,Prabhu,Tabu,,,,,,
Bharatham,https://www.imdb.com/title/tt0237038/,tt0237038,Sibi Malayil,"The tale of two classical musician brothers: while the elder squanders his life and talent away, the younger one fulfills their joint responsibilities towards their family.",https://m.media-amazon.com/images/M/MV5BMmE5NDg3ZmEtY2RkYy00Y2Y5LTk4NzQtNWJjZGJhZWQzZWM0XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,Mohanlal,Urvashi,Nedumudi,Venu,Kaviyoor,Ponnamma,,,,,
