Actor_Name,Actors_url
Mohanlal,/name/nm0482320/
Sumalatha,/name/nm0838517/
Parvathi,/name/nm0664104/
Ashokan,/name/nm0039596/
Shari,/name/nm1117035/
Thilakan,/name/nm0858128/
Vineeth,/name/nm0898913/
Nalini,/name/nm0620546/
Bharat Gopy,/name/nm0329727/
Shubha,/name/nm0795552/
John Varghese,/name/nm1127805/
Jagathi N.K. Achari,/name/nm3259882/
Ajayan Adoor,/name/nm11868367/
Ajayan,/name/nm3710829/
Nedumudi Venu,/name/nm0893449/
Mammootty,/name/nm0007123/
Venu Nagavalli,/name/nm1964412/
Renjini,/name/nm0719562/
Poornam Vishwanathan,/name/nm1111221/
Kaviyoor Ponnamma,/name/nm0690450/
Shobana,/name/nm0811794/
Jayaram,/name/nm0419688/
Srividya,/name/nm0820286/
Suresh Gopi,/name/nm0329730/
Sreenivasan,/name/nm0820208/
Urvashi,/name/nm0882219/
Innocent Vareed Thekkethala,/name/nm0409204/
Sukumaran,/name/nm0837792/
Suparna Anand,/name/nm1297929/
Shalini,/name/nm0787748/
Sangeeta Naik,/name/nm0619689/
Madhavi,/name/nm0534863/
Devan,/name/nm0222181/
Rekha,/name/nm9969854/
Murali,/name/nm0613512/
Karamana Janardanan Nair,/name/nm0438854/
K.P.A.C. Lalitha,/name/nm0433884/
Jagathy Sreekumar,/name/nm0415549/
Janardanan,/name/nm0417314/
Mukesh,/name/nm0611481/
Alummoodan,/name/nm0023096/
Adoor Bhasi,/name/nm0006982/
Seema,/name/nm0781630/
Balan K. Nair,/name/nm0433853/
Vinaya Prasad,/name/nm1110573/
Maathu,/name/nm0558981/
M.R. Gopakumar,/name/nm0329697/
Tanvi Azmi,/name/nm0044343/
Sabitha Anand,/name/nm0025621/
Lal,/name/nm0482309/
Manju Warrier,/name/nm0913097/
Biju Menon,/name/nm0579756/
Geetha,/name/nm0311677/
Ratheesh,/name/nm0711707/
Siddique,/name/nm1388202/
Samyuktha Varma,/name/nm0890062/
Sangeetha,/name/nm0762660/
Vinduja Menon,/name/nm1843051/
Saikumar,/name/nm0756533/
Vani Viswanath,/name/nm0899804/
Vijayaraghavan,/name/nm1066795/
Aliyar,/name/nm0019731/
Augustine,/name/nm0041919/
Azeez,/name/nm0044183/
Bobby,/name/nm0090316/
Lalu Alex,/name/nm0018203/
Vikram,/name/nm1417314/
Narendra Prasad,/name/nm0695266/
Sphadikam George,/name/nm1431568/
Siddharth Lama,/name/nm1066560/
Madhoo,/name/nm0534866/
Chitra,/name/nm0158335/
Dileep,/name/nm0226770/
Mohini,/name/nm1025703/
Cochin Hanifa,/name/nm0359880/
Amrish Puri,/name/nm0700869/
Prabhu,/name/nm0694893/
Tabu,/name/nm0007102/
Napolean,/name/nm0621066/
Revathi,/name/nm0720763/
Kollam Thulasi,/name/nm0862014/
N.N. Pillai,/name/nm1099392/
Philomina,/name/nm0680927/
